Altium Designer Pick and Place Locations
E:\4_Bioreactor\Bioreactor v3\Project Outputs\Pick Place\Pick Place for Bioreactor v3.csv

========================================================================================================================
File Design Information:

Date:       04/07/24
Time:       17:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"IC4","TMC2208-LA-T","BottomLayer","QFN50P500X500X90-29N-D","944.967","3147.517","270","C115944"
"PS1","LD1117-5.0","BottomLayer","SOT230P700X190-4N","1131.278","458.182","180","C347230, Fixed voltage regulator,
12V to 5V"
"S1","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","3063.628","401.323","0","Switch, C127509"
"IC1","RASPBERRY_PI_PICO_W, C7203003","BottomLayer","RASPBERRYPIPICOW","1045.276","1363.061","180","Raspberry Pie"
"Driver6","FAN3224TMX","BottomLayer","SOIC127P599X175-8N","8044.953","1079.692","90","Gate driver,
two channels,
low side,C457631"
"VR3","TC33X-2-203E","BottomLayer","TC33X2503E","534.282","3061.701","270","Variable Resistor,C720648"
"VR2","TC33X-2-203E","BottomLayer","TC33X2503E","7937.979","2817.270","270","Variable Resistor,C720648"
"S7","C54949, DSIC02LSGET","TopLayer","SOP254P930X445-4N","1143.095","2564.089","0","2 channel Switch"
"S6","C54949, DSIC02LSGET","TopLayer","SOP254P930X445-4N","8664.041","2390.040","0","2 channel Switch"
"R32","Chip Resistors, 20k","BottomLayer","RESC1608X55N","574.054","2888.502","270","C4184"
"R31","Chip Resistors, 20k","BottomLayer","RESC1608X55N","7975.287","2654.351","270","C4184"
"R30","Chip Resistors, 20k","BottomLayer","RESC1608X55N","884.967","2897.517","270","C4184"
"R29","Chip Resistors, 20k","BottomLayer","RESC1608X55N","8360.258","2679.205","270","C4184"
"R24","Chip Resistors, 20k","BottomLayer","RESC1608X55N","1294.658","3105.224","270","C4184"
"R23","Chip Resistors, 20k","BottomLayer","RESC1608X55N","8861.504","2984.824","90","C4184"
"J11","B4B-PH-K-S_LF__SN_, C131334","BottomLayer","SHDR4W50P0X200_1X4_990X450X600P","980.937","3462.082","0","Connector,C131334"
"J10","B4B-PH-K-S_LF__SN_, C131334","BottomLayer","SHDR4W50P0X200_1X4_990X450X600P","8456.295","3228.000","0","Connector,C131334"
"IC3","TMC2208-LA-T","BottomLayer","QFN50P500X500X90-29N-D","8420.000","2915.000","270","C115944"
"C32","100nF,C307331","BottomLayer","RESC1005X55N","767.084","3318.377","180","Chip Capacitor, 0402, CL05B104KB54PNC"
"C42","22nF,50V, C1729","BottomLayer","C0805","1192.324","3113.415","90","Chip Capacitor"
"C41","22nF,50V, C1729","BottomLayer","C0805","8760.000","2875.000","90","Chip Capacitor"
"C40","100nF,C49678","BottomLayer","C0805","774.967","2962.517","90","Chip Capacitor"
"C39","4.7uF, C162420","BottomLayer","C0805","1114.967","2977.517","180","Chip Capacitor, 4.7 µF,50V"
"C38","100nF,C49678","BottomLayer","C0805","8250.000","2740.000","90","Chip Capacitor"
"C37","4.7uF, C162420","BottomLayer","C0805","8522.096","2696.445","90","Chip Capacitor, 4.7 µF,50V"
"C36","100nF,C49678","BottomLayer","C0805","1386.070","3262.886","270","Chip Capacitor"
"C35","100nF,C49678","BottomLayer","C0805","8632.930","2743.406","90","Chip Capacitor"
"C34","C15850","BottomLayer","C0805","1240.644","3290.653","0","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C33","C15850","BottomLayer","C0805","679.140","3280.181","90","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C31","100nF,C307331","BottomLayer","RESC1005X55N","1240.644","3226.676","0","Chip Capacitor, 0402, CL05B104KB54PNC"
"C28","100nF,C307331","BottomLayer","RESC1005X55N","8703.702","2995.165","0","Chip Capacitor, 0402, CL05B104KB54PNC"
"C30","C15850","BottomLayer","C0805","8703.702","3059.142","0","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C29","C15850","BottomLayer","C0805","8162.820","3050.384","90","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C27","100nF,C307331","BottomLayer","RESC1005X55N","8249.269","3086.066","180","Chip Capacitor, 0402, CL05B104KB54PNC"
"VR1","TC33X-2-203E","BottomLayer","TC33X2503E","4325.906","2410.040","270","Variable Resistor,C720648"
"S8","C54949, DSIC02LSGET","TopLayer","SOP254P930X445-4N","5584.620","2449.868","0","2 channel Switch"
"R20","Chip Resistors, 20k","BottomLayer","RESC1608X55N","4365.000","2245.000","270","C4184"
"R17","Chip Resistors, 20k","BottomLayer","RESC1608X55N","4800.000","2255.000","270","C4184"
"R14","Chip Resistors, 20k","BottomLayer","RESC1608X55N","5193.810","2471.267","270","C4184"
"J9","B4B-PH-K-S_LF__SN_, C131334","BottomLayer","SHDR4W50P0X200_1X4_990X450X600P","4895.681","2819.771","0","Connector,C131334"
"IC2","TMC2208-LA-T","BottomLayer","QFN50P500X500X90-29N-D","4860.000","2505.000","270","C115944"
"C24","22nF,50V, C1729","BottomLayer","C0805","5093.005","2472.832","90","Chip Capacitor"
"C23","100nF,C49678","BottomLayer","C0805","4690.000","2320.000","90","Chip Capacitor"
"C22","4.7uF, C162420","BottomLayer","C0805","5036.696","2343.545","180","Chip Capacitor, 4.7 µF,50V"
"C21","100nF,C49678","BottomLayer","C0805","5310.503","2605.421","270","Chip Capacitor"
"C18","C15850","BottomLayer","C0805","5152.759","2647.094","0","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C17","C15850","BottomLayer","C0805","4595.173","2647.046","90","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C16","100nF,C307331","BottomLayer","RESC1005X55N","4685.470","2675.622","180","Chip Capacitor, 0402, CL05B104KB54PNC"
"C15","100nF,C307331","BottomLayer","RESC1005X55N","5152.759","2583.118","0","Chip Capacitor, 0402, CL05B104KB54PNC"
"R9","No BOM","TopLayer","TO508P305X812X1398-2P","10265.000","2190.000","0","Heater, No BOM"
"R8","No BOM","TopLayer","TO508P305X812X1398-2P","10265.000","3640.000","180","Heater, No BOM"
"R7","No BOM","TopLayer","TO508P305X812X1398-2P","6741.482","2464.093","0","Heater, No BOM"
"R6","No BOM","TopLayer","TO508P305X812X1398-2P","6745.000","3465.000","180","Heater, No BOM"
"R5","No BOM","TopLayer","TO508P305X812X1398-2P","2914.157","2253.524","0","Heater, No BOM"
"R4","No BOM","TopLayer","TO508P305X812X1398-2P","2913.263","3715.778","180","Heater, No BOM"
"J7","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","6503.508","1785.013","180","Connector,C158012"
"J8","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","9776.422","1801.651","180","Connector,C158012"
"J6","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","3459.972","1769.880","180","Connector,C158012"
"J5","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","8704.213","565.000","180","Connector,C158012"
"J2","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","7220.787","570.000","180","Connector,C158012"
"J4","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","5674.213","570.000","180","Connector,C158012"
"J3","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","4153.681","569.381","180","Connector,C158012"
"J1","B2B-XH-A_LF__SN_","BottomLayer","SHDR2W64P0X250_1X2_740X575X700P","2629.568","574.867","180","Connector,C158012"
"TM3","DS18B20+,No BOM","TopLayer","DS18B20","10958.869","2584.685","245","Integrated Circuit, No BOM"
"TM2","DS18B20+,No BOM","TopLayer","DS18B20","7215.760","2696.269","241","Integrated Circuit, No BOM"
"S10","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","5537.992","3456.475","0","Switch, C127509"
"S9","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","4365.000","3455.000","0","Switch, C127509"
"S5","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","9167.611","385.000","0","Switch, C127509"
"S4","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","7641.958","385.000","0","Switch, C127509"
"S3","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","6116.306","385.000","0","Switch, C127509"
"S2","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","4590.653","385.000","0","Switch, C127509"
"R19","C17414, Resistor 10k, 0805","BottomLayer","RESC2012X60N","9180.000","2270.000","0","Chip Resistor, 10 kOhm"
"R18","C17414, Resistor 10k, 0805","BottomLayer","RESC2012X60N","1812.795","2215.000","0","Chip Resistor, 10 kOhm"
"R22","Resistors,0603,150 Ohm, C22808","BottomLayer","RESC1608X55N","11340.000","3185.000","90","Resistor,
C22808"
"R21","Resistors,0603,150 Ohm, C22808","BottomLayer","RESC1608X55N","4035.000","3280.472","90","Resistor,
C22808"
"PD2","IR photodiode, No BOM","TopLayer","LTE5208A","9195.000","2930.000","270","Infra red photodiode, LTR-323DB , 2-Pin THD"
"PD1","IR photodiode, No BOM","TopLayer","LTE5208A","1840.000","2995.000","270","Infra red photodiode, LTR-323DB , 2-Pin THD"
"IR2","LTE-5208A, No BOM","TopLayer","LTE5208A","11340.000","2930.000","270","LED"
